key,Location,date,humidity,temperature
-N5nKuEf5mzD9zPI-l1Q,Casa1DHT,1656571273.889291,50.00,22.60
-N5nRlgwOnmceUChSeHR,Casa1DHT,1656573073.879571,50.00,22.60
-N5nYd8y8UgG8DvPTwBt,Casa1DHT,1656574873.866946,49.00,22.50
-N5neVaUTR1PliDcHDZc,Casa1DHT,1656576673.859432,50.00,22.50
-N5nlN2lVlOSJ3k3GmfY,Casa1DHT,1656578473.849555,49.00,22.50
-N5nsEVpJKFJYRMdsdA5,Casa1DHT,1656580273.839254,49.00,22.50
-N5nz5xr4cTKiql5yPCC,Casa1DHT,1656582073.830918,51.00,22.50
-N5o4yPS-Kb-3XWV9-vG,Casa1DHT,1656583873.821253,48.00,22.50
-N5oBpr21xuzjXmKG3rP,Casa1DHT,1656585673.811083,49.00,22.60
-N5oIhJDzlaVvPDDbGQV,Casa1DHT,1656587473.799771,50.00,22.60
-N5oPZkyix_5ZZD7HMKE,Casa1DHT,1656589273.800953,50.00,22.60
-N5oWRCMXWiyYW2ZygMy,Casa1DHT,1656591073.783415,51.00,22.70
-N5ocIebZGBHZGIeq7NO,Casa1DHT,1656592873.772175,51.00,22.70
-N5ojA6VFGOpOsvlh0vV,Casa1DHT,1656594673.777762,51.00,22.70
-N5oq1ZdKQPwTr-VD8B-,Casa1DHT,1656596473.771368,51.00,22.70
-N5owu010wmTKrSIxHnc,Casa1DHT,1656598273.76118,50.00,22.80
-N5p2lSzmUmQzTez6gbr,Casa1DHT,1656600073.751142,51.00,22.90
-N5p9cvBNpcxxhy0xBVx,Casa1DHT,1656601873.741455,51.00,23.00
-N5pGVN-ltHZQPDm51Id,Casa1DHT,1656603673.73673,52.00,23.10
-N5pNMp0yZ3NbRPGPKu1,Casa1DHT,1656605473.721536,52.00,23.10
-N5pUEH69iLmiSyE7uXE,Casa1DHT,1656607273.712739,52.00,23.10
-N5pa5iQP0nWLIW2QeGj,Casa1DHT,1656609073.712862,52.00,23.10
-N5pgyAdpNem-SOshl4E,Casa1DHT,1656610873.699534,53.00,23.10
-N5pnpcIFfyda0P6obZK,Casa1DHT,1656612673.688081,53.00,23.10
-N5puh3kFE45a3UQA_53,Casa1DHT,1656614473.680374,54.00,23.10
-N5q0ZWwup0no5AxtW7i,Casa1DHT,1656616273.67445,53.00,23.10
-N5q7QyriGgPQUDnXYy5,Casa1DHT,1656618073.666075,53.00,23.10
-N5qEIQOPS9geBDzDhZF,Casa1DHT,1656619873.648362,53.00,23.00
-N5qL9selLXjlmlG_0Hc,Casa1DHT,1656621673.642904,53.00,23.00
-N5qS1Kxpl6a-Gw1PMuO,Casa1DHT,1656623473.634639,53.00,23.00
-N5qYtm2VRad5SDycQxa,Casa1DHT,1656625273.62235,53.00,23.00
-N5qelEDbG9xPyBaxOV2,Casa1DHT,1656627073.617143,53.00,23.00
-N5qlcffGCJ3hbJZBQiE,Casa1DHT,1656628873.604697,53.00,23.00
-N5qsV8-VTchnpDEubZt,Casa1DHT,1656630673.589508,52.00,23.00
-N5qzM_DDstIiIMKJ6pi,Casa1DHT,1656632473.577384,52.00,22.90
-N5r5E19q045O2WbLYBk,Casa1DHT,1656634273.573732,52.00,22.90
-N5rC5UiHCJdDrTQsdeg,Casa1DHT,1656636073.563977,52.00,22.80
-N5rIxvrHr3pBQ-7dPjV,Casa1DHT,1656637873.554218,52.00,22.80
-N5rPpNpnZ0FtKwHHJWc,Casa1DHT,1656639673.545451,51.00,22.80
-N5rWgpvt-DNT8EHFkOp,Casa1DHT,1656641473.538866,51.00,22.80
